"primary_genre","content_type","content_count","avg_quality_score","earliest_release_year","latest_release_year","avg_content_age_years","recent_content_count","added_since_2020","avg_duration_value","director_completeness_pct","cast_completeness_pct","percentage_of_type"
"Dramas","Movie","1595","0.997","1959","2021","12.0","57","606","111.4","99.18","99.5","26.11"
"Comedies","Movie","1206","0.995","1960","2021","13.0","48","501","106.7","98.01","99.5","19.74"
"Action & Adventure","Movie","857","0.997","1956","2021","16.4","37","364","113.4","99.07","99.3","14.03"
"Documentaries","Movie","827","0.889","1943","2021","9.8","50","201","82.2","93.71","50.67","13.54"
"International TV Shows","TV Show","774","0.808","1972","2021","9.2","88","283","1.3","8.01","95.99","28.99"
"Children & Family Movies","Movie","605","0.978","1954","2021","11.9","38","274","78.4","94.21","94.71","9.9"
"Crime TV Shows","TV Show","398","0.796","1999","2021","8.1","38","152","1.7","14.57","83.42","14.91"
"Kids' TV","TV Show","388","0.787","1989","2021","9.9","39","175","2.0","3.87","90.21","14.53"
"Stand-Up Comedy","Movie","334","0.984","1979","2021","10.4","12","65","66.9","92.51","99.7","5.47"
"Horror Movies","Movie","275","0.999","1985","2021","10.7","17","96","98.2","99.64","100.0","4.5"
"British TV Shows","TV Show","253","0.783","1974","2021","10.1","17","74","1.8","9.88","82.21","9.48"
"Docuseries","TV Show","221","0.72","1988","2021","8.2","39","98","1.4","12.22","48.42","8.28"
"Anime Series","TV Show","176","0.808","1981","2021","11.0","23","86","1.6","6.25","98.3","6.59"
"International Movies","Movie","126","0.99","1972","2021","10.4","7","51","107.7","96.03","99.21","2.06"
"Reality TV","TV Show","119","0.731","1993","2021","8.3","25","71","1.5","0.84","64.71","4.46"
"TV Comedies","TV Show","119","0.803","1992","2021","9.1","17","59","3.0","2.52","100.0","4.46"
"Classic Movies","Movie","79","0.985","1942","2018","52.2","0","31","115.8","100.0","92.41","1.29"
"TV Dramas","TV Show","67","0.806","1986","2021","9.7","6","30","2.9","2.99","100.0","2.51"
"Thrillers","Movie","65","1.0","1993","2021","12.7","4","34","100.0","100.0","100.0","1.06"
"Movies","Movie","56","0.896","1988","2021","11.6","3","11","45.7","60.71","92.86","0.92"
"TV Action & Adventure","TV Show","40","0.8","1993","2021","8.4","11","22","3.0","5.0","97.5","1.5"
"Stand-Up Comedy & Talk Shows","TV Show","34","0.818","2007","2021","8.0","3","9","2.2","23.53","85.29","1.27"
"Romantic TV Shows","TV Show","32","0.806","2002","2021","8.7","5","18","2.8","3.13","100.0","1.2"
"Classic & Cult TV","TV Show","22","0.8","1963","2020","22.1","0","7","5.7","9.09","100.0","0.82"
"Anime Features","Movie","21","0.971","2011","2021","8.6","2","10","90.3","95.24","90.48","0.34"
"Independent Movies","Movie","20","1.0","2004","2020","10.9","0","7","98.7","100.0","100.0","0.33"
"Music & Musicals","Movie","18","1.0","2008","2020","9.6","0","5","89.6","100.0","100.0","0.29"
"TV Shows","TV Show","16","0.875","1925","2021","26.6","2","7","1.0","68.75","68.75","0.6"
"Sci-Fi & Fantasy","Movie","13","1.0","2006","2019","11.1","0","3","106.6","100.0","100.0","0.21"
"Cult Movies","Movie","12","1.0","1974","2018","31.8","0","5","102.5","100.0","100.0","0.2"
"TV Horror","TV Show","11","0.818","2015","2021","7.9","1","6","2.8","9.09","100.0","0.41"
