"rating","content_type","content_count","avg_quality_score","recent_content_count","avg_content_age_years","avg_duration_value","rating_category","percentage_of_type"
"TV-MA","Movie","2052","0.977","109","10.0","95.8","Mature Audiences","33.47"
"TV-14","Movie","1426","0.977","72","13.4","110.3","Teens & Adults","23.26"
"TV-MA","TV Show","1143","0.794","159","8.1","1.7","Mature Audiences","42.71"
"R","Movie","794","0.997","21","15.5","106.8","Mature Audiences","12.95"
"TV-14","TV Show","732","0.796","78","10.3","1.8","Teens & Adults","27.35"
"TV-PG","Movie","539","0.961","20","13.3","95.0","Older Kids & Teens","8.79"
"PG-13","Movie","489","0.994","14","16.6","108.2","Teens & Adults","7.98"
"TV-PG","TV Show","323","0.773","25","10.8","1.7","Older Kids & Teens","12.07"
"PG","Movie","286","0.994","11","17.5","98.3","Older Kids & Teens","4.66"
"TV-Y7","TV Show","195","0.792","20","10.6","2.0","Older Kids & Teens","7.29"
"TV-Y","TV Show","176","0.781","20","9.0","1.9","Kids & Family","6.58"
"TV-Y7","Movie","139","0.965","13","10.4","66.3","Older Kids & Teens","2.27"
"TV-Y","Movie","131","0.936","6","8.7","48.1","Kids & Family","2.14"
"TV-G","Movie","126","0.946","9","9.6","79.7","Kids & Family","2.06"
"TV-G","TV Show","94","0.777","12","11.1","1.9","Kids & Family","3.51"
"NR","Movie","75","0.955","0","15.1","94.5","Unrated","1.22"
"G","Movie","41","0.995","0","28.2","90.3","Kids & Family","0.67"
"TV-Y7-FV","Movie","5","0.88","0","11.0","68.4","Older Kids & Teens","0.08"
"NR","TV Show","5","0.76","0","14.4","3.8","Unrated","0.19"
"UR","Movie","3","1.0","0","26.7","106.3","Unrated","0.05"
"NC-17","Movie","3","0.933","0","11.0","125.0","Mature Audiences","0.05"
"UNRATED","Movie","3","0.6","0","10.0","76.0","Unrated","0.05"
"2021","Movie","2","0.4","0",,"14.0","Other","0.03"
"R","TV Show","2","0.9","0","10.5","1.0","Mature Audiences","0.07"
"UNRATED","TV Show","2","0.8","0","12.0","1.0","Unrated","0.07"
"RACHEL DRATCH","Movie","1","0.4","0",,,"Other","0.02"
"SHAVIDEE TROTTER","Movie","1","0.4","0",,,"Other","0.02"
"JIDE KOSOKO","Movie","1","0.4","0",,,"Other","0.02"
"2017","Movie","1","0.4","0",,,"Other","0.02"
"ITZIAR AIZPURU","Movie","1","0.4","0",,,"Other","0.02"
"66 MIN","Movie","1","0.8","0","11.0",,"Other","0.02"
"NOVEMBER 1, 2020","Movie","1","0.6","0",,"1994.0","Other","0.02"
"KRISTEN SCHAAL""","Movie","1","0.4","0",,,"Other","0.02"
"2019","Movie","1","0.4","0",,,"Other","0.02"
"84 MIN","Movie","1","0.8","0","16.0",,"Other","0.02"
"74 MIN","Movie","1","0.8","0","9.0",,"Other","0.02"
"BENN NORTHOVER","Movie","1","0.4","0",,,"Other","0.02"
"RICHARD PEPPLE""","Movie","1","0.4","0",,,"Other","0.02"
"JOWHARAH JONES""","Movie","1","0.4","0",,,"Other","0.02"
"HEATHER MCDONALD","Movie","1","0.4","0",,,"Other","0.02"
"MAURY CHAYKIN","Movie","1","0.4","0",,,"Other","0.02"
"E-40","Movie","1","0.4","0",,,"Other","0.02"
"ADRIANE LENOX","TV Show","1","0.2","0",,,"Other","0.04"
"2006","TV Show","1","0.4","0",,"14.0","Other","0.04"
"TV-Y7-FV","TV Show","1","0.8","0","12.0","2.0","Older Kids & Teens","0.04"
"KEPPY EKPENYONG BASSEY","TV Show","1","0.4","0",,,"Other","0.04"
